==32426== NVPROF is profiling process 32426, command: /home/ruipan/anaconda3/bin/python cv_benchmark.py --apex-amp O0 --model resnet18 --dataset cifar10 --batch-size 16 --epochs 1
==32426== Profiling application: /home/ruipan/anaconda3/bin/python cv_benchmark.py --apex-amp O0 --model resnet18 --dataset cifar10 --batch-size 16 --epochs 1
==32426== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
"GPU activities",1.904686,0.591494,6252,0.094608,88.254000,0.116734,"void cudnn::detail::dgrad_alg1_engine<float, int=128, int=6, int=7, int=3, int=3, int=5, bool=0, bool=1>(int, int, int, float const *, int, float const , int, cudnn::detail::dgrad_alg1_engine<float, int=128, int=6, int=7, int=3, int=3, int=5, bool=0, bool=1>*, kernel_grad_params, __int64, int, float, int)"
"GPU activities",1.689124,0.524552,43755,0.011988,4.832000,0.027488,"void cudnn::winograd_nonfused::winogradWgradData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<float, float>)"
"GPU activities",1.603727,0.498032,15625,0.031874,28.352000,0.039199,"void cudnn::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1>(float, cudnn::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1>, cudnn::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1>, cudnn::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1>, cudnnTensorStruct, float const *, float, float const , float, cudnnTensorStruct*, cudnn::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1> const *, cudnn::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1>*, cudnn::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1> const *, cudnn::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1> const , cudnn::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1> const , cudnn::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1>)"
"GPU activities",1.590310,0.493865,43755,0.011287,3.776000,0.023584,"void cudnn::winograd_nonfused::winogradWgradDelta4x4<float, float>(cudnn::winograd_nonfused::WinogradDeltaParams<float, float>)"
"GPU activities",1.456311,0.452253,46875,0.009648,8.544000,0.014528,"void cudnn::bn_bw_1C11_singleread<float, int=512, bool=1, int=1, int=2, int=0>(float, float, float, float, cudnnTensorStruct, float const *, cudnn::bn_bw_1C11_singleread<float, int=512, bool=1, int=1, int=2, int=0>, float const , cudnn::bn_bw_1C11_singleread<float, int=512, bool=1, int=1, int=2, int=0>, cudnnTensorStruct*, float const *, float*, float const *, float const , float const , float, cudnn::reduced_divisor, int, float*, cudnn::bnBwPersistentState*, int, float, float, float, int, float, cudnnStatus_t*, bool)"
"GPU activities",1.398132,0.434185,3127,0.138850,131.806000,0.179805,"void cudnn::detail::dgrad2d_alg1_1<float, int=0, int=6, int=7, int=5, int=4, int=5, bool=0, bool=1>(int, int, int, float const *, int, float const , int, cudnn::detail::dgrad2d_alg1_1<float, int=0, int=6, int=7, int=5, int=4, int=5, bool=0, bool=1>*, kernel_grad_params, __int64, int, __int64, int, float, int, int)"
"GPU activities",1.333732,0.414186,196813,0.002104,0.959000,0.017088,"void at::native::vectorized_elementwise_kernel<int=4, at::native::FillFunctor<float>, at::detail::Array<char*, int=1>>(int, float, at::native::FillFunctor<float>)"
"GPU activities",1.315913,0.408652,12505,0.032679,19.136000,0.084927,"void fft2d_r2c_32x32<float, bool=1, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)"
"GPU activities",1.179139,0.366178,46875,0.007811,6.624000,0.013216,"void cudnn::bn_fw_tr_1C11_singleread<float, int=512, bool=1, int=1, int=2, int=0>(cudnnTensorStruct, float const *, cudnn::bn_fw_tr_1C11_singleread<float, int=512, bool=1, int=1, int=2, int=0>, cudnnTensorStruct*, float const *, float const , float, float, float*, float const *, float const *, float const *, float, float, cudnn::reduced_divisor, int, float*, cudnn::bnFwPersistentState*, int, float, float, float, int, float, float, cudnnStatus_t*, bool)"
"GPU activities",1.054314,0.327414,9379,0.034909,33.983000,0.040703,"volta_sgemm_32x128_nn"
"GPU activities",1.034370,0.321220,12524,0.025648,10.400000,0.140862,"void fft2d_c2r_32x32<float, bool=0, bool=0, unsigned int=0, bool=0, bool=0>(float*, float2 const *, int, int, int, int, int, int, int, int, int, float, float, cudnn::reduced_divisor, bool, float*, float*, int2, int, int)"
"GPU activities",1.013807,0.314835,9376,0.033578,32.447000,0.038080,"volta_sgemm_32x128_nt"
"GPU activities",0.821321,0.255059,3127,0.081566,77.663000,0.096287,"volta_scudnn_128x32_stridedB_splitK_small_nn_v1"
"GPU activities",0.789209,0.245086,3127,0.078377,76.191000,0.090975,"volta_scudnn_128x64_stridedB_splitK_small_nn_v1"
"GPU activities",0.751743,0.233451,3154,0.074017,32.032000,1.664618,"void fft2d_r2c_32x32<float, bool=0, unsigned int=1, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)"
"GPU activities",0.590960,0.183521,15625,0.011745,10.752000,0.021151,"void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, int=512, bool=1, int=1>(cudnnTensorStruct, float const *, cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, int=512, bool=1, int=1>, cudnnTensorStruct*, float const *, float const , cudnnTensorStruct*, cudnnTensorStruct*, cudnnTensorStruct**, float const *, float const *, float const *, cudnnTensorStruct*, cudnnTensorStruct*)"
"GPU activities",0.364969,0.113340,1580,0.071734,5.536000,0.105246,"void cudnn::bn_fw_inf_1C11_kernel_NCHW<float, float, bool=1, int=1>(float, cudnn::bn_fw_inf_1C11_kernel_NCHW<float, float, bool=1, int=1>, cudnnTensorStruct, float const *, float, cudnnTensorStruct*, float, cudnn::bn_fw_inf_1C11_kernel_NCHW<float, float, bool=1, int=1> const *, cudnn::bn_fw_inf_1C11_kernel_NCHW<float, float, bool=1, int=1> const , cudnn::bn_fw_inf_1C11_kernel_NCHW<float, float, bool=1, int=1> const , cudnn::bn_fw_inf_1C11_kernel_NCHW<float, float, bool=1, int=1> const , cudnn::bn_fw_inf_1C11_kernel_NCHW<float, float, bool=1, int=1>)"
"GPU activities",0.309310,0.096055,62500,0.001536,1.343000,0.013600,"void at::native::vectorized_elementwise_kernel<int=4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char*, int=2>>(int, long, at::native::AddFunctor<long>)"
"GPU activities",0.278653,0.086535,6536,0.013239,1.087000,3.643633,"[CUDA memcpy HtoD]"
"GPU activities",0.232609,0.072236,3128,0.023093,19.967000,0.027295,"void implicit_convolve_sgemm<float, float, int=1024, int=5, int=5, int=3, int=3, int=3, int=1, bool=0, bool=1, bool=1>(int, int, int, float const *, int, float*, float const *, kernel_conv_params, __int64, int, float, float, int, float const *, float const *, bool, int, int)"
"GPU activities",0.223440,0.069388,15653,0.004432,2.240000,0.013280,"void cudnn::ops::scalePackedTensor_kernel<float, float>(cudnnTensor4dStruct, float*, float)"
"GPU activities",0.152411,0.047331,84,0.563462,534.266000,1.145521,"void implicit_convolve_sgemm<float, float, int=512, int=6, int=8, int=3, int=3, int=5, int=1, bool=0, bool=1, bool=1>(int, int, int, float const *, int, float*, float const *, kernel_conv_params, __int64, int, float, float, int, float const *, float const *, bool, int, int)"
"GPU activities",0.149389,0.046392,28185,0.001645,1.056000,0.017216,"[CUDA memset]"
"GPU activities",0.139042,0.043179,86,0.502081,78.879000,0.991924,"void explicit_convolve_sgemm<float, int, int=128, int=6, int=7, int=3, int=3, int=5, int=0, bool=0>(int, int, int, float const *, int, float const *, int, float*, kernel_conv_params, __int64, int, __int64, int, float, float, int, float const *, float const *)"
"GPU activities",0.135077,0.041948,12830,0.003269,2.368000,0.042079,"void cudnn::winograd::generateWinogradTilesKernel<int=0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<float, float>)"
"GPU activities",0.103918,0.032272,3126,0.010323,9.983000,0.013568,"void gemmSN_TN_kernel_64addr<float, int=128, int=16, int=2, int=4, int=8, int=9, bool=0, cublasGemvTensorStridedBatched<float const >, cublasGemvTensorStridedBatched<float>>(cublasGemmSmallNParams<float const , cublasGemvTensorStridedBatched<float const >, float>)"
"GPU activities",0.072012,0.022363,170,0.131548,91.519000,1.082802,"void implicit_convolve_sgemm<float, float, int=128, int=6, int=7, int=3, int=3, int=5, int=1, bool=0, bool=1, bool=1>(int, int, int, float const *, int, float*, float const *, kernel_conv_params, __int64, int, float, float, int, float const *, float const *, bool, int, int)"
"GPU activities",0.067525,0.020970,3204,0.006544,5.632000,0.019807,"void at::native::reduce_kernel<int=512, int=1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, int=4>>(float)"
"GPU activities",0.064976,0.020178,3125,0.006456,6.271000,0.008576,"void at::native::unrolled_elementwise_kernel<at::native::MulScalarFunctor<float, float>, at::detail::Array<char*, int=2>, OffsetCalculator<int=1, unsigned int>, OffsetCalculator<int=1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, float, float, at::native::MulScalarFunctor<float, float>, char*, int=2, at::detail::Array<char*, int=2>)"
"GPU activities",0.058704,0.018230,17,1.072381,58.047000,8.016889,"volta_gcgemm_64x64_nt"
"GPU activities",0.050054,0.015544,3204,0.004851,4.704000,0.007839,"_ZN2at6native27unrolled_elementwise_kernelIZZZNS0_21copy_device_to_deviceERNS_14TensorIteratorEbENKUlvE0_clEvENKUlvE6_clEvEUlfE_NS_6detail5ArrayIPcLi2EEE16OffsetCalculatorILi1EjESC_NS0_6memory15LoadWithoutCastENSD_16StoreWithoutCastEEEviT_T0_T1_T2_T3_T4_"
"GPU activities",0.048099,0.014937,3125,0.004779,4.640000,0.007584,"_ZN2at6native13reduce_kernelILi256ELi2ENS0_8ReduceOpIfNS0_14func_wrapper_tIfZNS0_11sum_functorIfffEclERNS_14TensorIteratorEEUlffE_EEjfLi4EEEEEvT1_"
"GPU activities",0.042008,0.013045,3125,0.004174,4.031000,0.007904,"void gemmSN_NN_kernel<float, int=256, int=4, int=2, int=8, int=4, int=4, bool=0, cublasGemvTensorStridedBatched<float const >, cublasGemvTensorStridedBatched<float>>(cublasGemmSmallNParams<float const , cublasGemvTensorStridedBatched<float const >, float>)"
"GPU activities",0.040779,0.012664,3204,0.003952,3.775000,0.006240,"void cunn_ClassNLLCriterion_updateOutput_kernel<float, float>(float*, float*, float*, long*, float*, int, int, int, int, long)"
"GPU activities",0.040764,0.012659,6257,0.002023,1.600000,0.012640,"cask_cudnn::computeWgradSplitKOffsetsKernel(cask_cudnn::ComputeSplitKOffsetsParams)"
"GPU activities",0.039910,0.012394,6257,0.001980,1.568000,0.012960,"cask_cudnn::computeWgradBOffsetsKernel(cask_cudnn::ComputeWgradBOffsetsParams)"
"GPU activities",0.026821,0.008329,3125,0.002665,2.432000,0.003360,"void cunn_ClassNLLCriterion_updateGradInput_kernel<float>(float*, float*, long*, float*, float*, int, int, int, int, long)"
"GPU activities",0.026691,0.008289,100,0.082886,9.215000,0.554777,"void cudnn::cnn::im2col4d_kernel<float, long>(cudnn::cnn::im2col4d_params, cudnnConvolutionStruct, cudnnTensor4dStruct, float const *, cudnnTensor4dStruct*)"
"GPU activities",0.025400,0.007888,3204,0.002461,2.368000,0.003264,"void _GLOBAL__N__54_tmpxft_000035b1_00000000_12_SoftMax_compute_80_cpp1_ii_a3310042::softmax_warp_forward<float, float, float, int=4, bool=1>(float*, float const *, int, int, int)"
"GPU activities",0.021921,0.006807,16,0.425462,14.880000,1.607883,"void fft2d_r2c_32x32<float, bool=0, unsigned int=1, bool=1>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)"
"GPU activities",0.018855,0.005855,7,0.836492,152.414000,2.903131,"volta_cgemm_32x64_tn"
"GPU activities",0.018604,0.005777,3125,0.001848,1.791000,0.002432,"void _GLOBAL__N__54_tmpxft_000035b1_00000000_12_SoftMax_compute_80_cpp1_ii_a3310042::softmax_warp_backward<float, float, float, int=4, bool=1>(float*, float const *, float const , int, int, int)"
"GPU activities",0.017240,0.005354,80,0.066922,65.407000,0.078303,"volta_scudnn_128x64_relu_interior_nn_v1"
"GPU activities",0.010109,0.003139,12,0.261607,56.927000,0.703351,"void cudnn::cnn::wgrad_alg0_engine<float, int=512, int=6, int=5, int=3, int=3, int=3, bool=0, int=512>(int, int, int, float const *, int, cudnn::cnn::wgrad_alg0_engine<float, int=512, int=6, int=5, int=3, int=3, int=3, bool=0, int=512>*, float const , kernel_grad_params, __int64, int, float, int, int, int, int)"
"GPU activities",0.008857,0.002751,20,0.137527,30.464000,0.299164,"void cudnn::detail::dgrad_engine<float, int=512, int=6, int=5, int=3, int=3, int=3, bool=0>(int, int, int, float const *, int, float const , int, cudnn::detail::dgrad_engine<float, int=512, int=6, int=5, int=3, int=3, int=3, bool=0>*, kernel_grad_params, __int64, int, __int64, int, float, int, int, int)"
"GPU activities",0.008458,0.002627,11,0.238792,19.839000,0.968532,"void explicit_convolve_sgemm<float, int, int=1024, int=5, int=5, int=3, int=3, int=3, int=0, bool=0>(int, int, int, float const *, int, float const *, int, float*, kernel_conv_params, __int64, int, __int64, int, float, float, int, float const *, float const *)"
"GPU activities",0.008376,0.002601,7,0.371597,74.847000,0.821333,"volta_cgemm_64x32_tn"
"GPU activities",0.006937,0.002154,16,0.134634,18.815000,0.517881,"void fft2d_r2c_16x16<float>(float2*, float const *, int, int, int, int, int, int, int, int)"
"GPU activities",0.005779,0.001795,4,0.448634,138.206000,0.892532,"volta_scudnn_128x64_sliced1x2_ldg4_relu_exp_small_nhwc_tn_v1"
"GPU activities",0.004887,0.001518,12,0.126467,23.647000,0.455418,"void fft2d_c2r_32x32<float, bool=1, bool=0, unsigned int=0, bool=0, bool=0>(float*, float2 const *, int, int, int, int, int, int, int, int, int, float, float, cudnn::reduced_divisor, bool, float*, float*, int2, int, int)"
"GPU activities",0.004854,0.001507,15,0.100495,24.991000,0.394075,"void fft2d_c2r_32x32<float, bool=0, bool=0, unsigned int=1, bool=0, bool=0>(float*, float2 const *, int, int, int, int, int, int, int, int, int, float, float, cudnn::reduced_divisor, bool, float*, float*, int2, int, int)"
"GPU activities",0.004547,0.001412,3,0.470639,78.079000,0.900244,"volta_scudnn_128x32_relu_small_nn_v1"
"GPU activities",0.004228,0.001313,15,0.087540,2.240000,0.453050,"void flip_filter<float, float>(float*, float const *, int, int, int, int)"
"GPU activities",0.003942,0.001224,28,0.043725,9.760000,0.132991,"void fft2d_r2c_32x32<float, bool=0, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)"
"GPU activities",0.003792,0.001178,5,0.235549,36.736000,0.332220,"void pointwise_mult_and_sum_complex<float2, int=8, int=4>(float2*, float2*, float2*, int, int, int, int, int, float2)"
"GPU activities",0.003709,0.001152,78,0.014768,14.368000,0.017088,"volta_sgemm_32x32_sliced1x4_tn"
"GPU activities",0.003274,0.001017,14,0.072614,7.616000,0.239261,"void fft2d_r2c_64x64<float, bool=1>(float2*, float const *, int, int, int, int, int, int, int, int)"
"GPU activities",0.003065,0.000952,6,0.158621,7.680000,0.353756,"void transpose_readWrite_alignment_kernel<float2, float2, int=1, bool=0, int=6, int=4, int=4>(cublasTransposeParams<float2>, float2 const *, float2*, float2 const *)"
"GPU activities",0.002877,0.000893,1,0.893332,893.332000,0.893332,"void cudnn::detail::dgrad_alg1_engine<float, int=128, int=5, int=5, int=3, int=3, int=3, bool=0, bool=1>(int, int, int, float const *, int, float const , int, cudnn::detail::dgrad_alg1_engine<float, int=128, int=5, int=5, int=3, int=3, int=3, bool=0, bool=1>*, kernel_grad_params, __int64, int, float, int)"
"GPU activities",0.002860,0.000888,7,0.126896,23.360000,0.268349,"void fft2d_c2r_64x64<float, bool=0, bool=1>(float*, float2*, int, int, int, int, int, int, int, int, int, int, float, float, int, float*, float*)"
"GPU activities",0.002859,0.000888,1,0.887765,887.765000,0.887765,"volta_scudnn_128x64_sliced1x2_ldg4_relu_exp_large_nhwc_tn_v1"
"GPU activities",0.002838,0.000881,8,0.110158,16.799000,0.462201,"void fft2d_c2r_16x16<float, bool=0>(float*, float2*, int, int, int, int, int, int, int, int, int, int, float, float, int, float*, float*)"
"GPU activities",0.002795,0.000868,8,0.108506,44.416000,0.217117,"void cudnn::cnn::wgrad_alg0_engine<float, int=128, int=5, int=5, int=3, int=3, int=3, bool=0, int=512>(int, int, int, float const *, int, cudnn::cnn::wgrad_alg0_engine<float, int=128, int=5, int=5, int=3, int=3, int=3, bool=0, int=512>*, float const , kernel_grad_params, __int64, int, float, int, int, int, int)"
"GPU activities",0.002457,0.000763,2,0.381435,147.647000,0.615224,"volta_scudnn_128x64_stridedB_small_nn_v1"
"GPU activities",0.002245,0.000697,1,0.697271,697.271000,0.697271,"void precomputed_convolve_sgemm<float, int=128, int=6, int=7, int=3, int=3, int=5, int=1, bool=0>(int, int, int, float const *, int, float*, float const *, kernel_conv_params, __int64, int, float, float, int, float const *, float const *, int*)"
"GPU activities",0.002161,0.000671,79,0.008494,8.256000,0.009248,"void at::native::reduce_kernel<int=512, int=1, at::native::ReduceOp<float, at::native::MaxOps<float>, unsigned int, float, int=4>>(float)"
"GPU activities",0.001950,0.000606,8,0.075695,25.504000,0.130686,"void cudnn::cnn::wgrad_alg0_engine<float, int=128, int=6, int=7, int=3, int=3, int=5, bool=0, int=512>(int, int, int, float const *, int, cudnn::cnn::wgrad_alg0_engine<float, int=128, int=6, int=7, int=3, int=3, int=5, bool=0, int=512>*, float const , kernel_grad_params, __int64, int, float, int, int, int, int)"
"GPU activities",0.001663,0.000516,2,0.258172,70.655000,0.445690,"volta_scudnn_128x128_relu_small_nn_v1"
"GPU activities",0.001648,0.000512,1,0.511801,511.801000,0.511801,"void cudnn::cnn::wgrad_alg1_engine<float, int=512, int=6, int=5, int=3, int=3, int=3, bool=0, bool=0>(int, int, int, float const *, int, float*, float const , kernel_grad_params, __int64, int, float, float, int, int, int*, kernel_grad_params, int, int)"
"GPU activities",0.001523,0.000473,1,0.473114,473.114000,0.473114,"volta_scudnn_128x64_relu_xregs_large_nn_v1"
"GPU activities",0.001493,0.000464,98,0.004730,2.400000,0.006080,"cask_cudnn::computeOffsetsKernel(cask_cudnn::ComputeOffsetsParams)"
"GPU activities",0.001447,0.000449,79,0.005686,5.440000,0.006144,"_ZN2at6native13reduce_kernelILi512ELi1ENS0_8ReduceOpIlNS0_14func_wrapper_tIlZNS0_11sum_functorIlllEclERNS_14TensorIteratorEEUlllE_EEjlLi4EEEEEvT1_"
"GPU activities",0.001445,0.000449,2,0.224317,39.135000,0.409499,"volta_scudnn_128x32_relu_medium_nn_v1"
"GPU activities",0.001187,0.000369,79,0.004666,2.400000,0.005248,"_ZN2at6native27unrolled_elementwise_kernelIZZZNS0_21copy_device_to_deviceERNS_14TensorIteratorEbENKUlvE0_clEvENKUlvE10_clEvEUllE_NS_6detail5ArrayIPcLi2EEE23TrivialOffsetCalculatorILi1EjESC_NS0_6memory12LoadWithCastILi1EEENSD_13StoreWithCastEEEviT_T0_T1_T2_T3_T4_"
"GPU activities",0.001125,0.000349,2,0.174669,172.414000,0.176925,"volta_scudnn_128x128_stridedB_splitK_medium_nn_v1"
"GPU activities",0.000966,0.000300,3,0.100020,31.552000,0.174270,"void explicit_convolve_sgemm<float, int, int=128, int=5, int=5, int=3, int=3, int=3, int=0, bool=0>(int, int, int, float const *, int, float const *, int, float*, kernel_conv_params, __int64, int, __int64, int, float, float, int, float const *, float const *)"
"GPU activities",0.000926,0.000288,190,0.001513,1.248000,0.003136,"[CUDA memcpy DtoH]"
"GPU activities",0.000842,0.000261,1,0.261372,261.372000,0.261372,"volta_scudnn_128x32_stridedB_splitK_xregs_large_nn_v1"
"GPU activities",0.000788,0.000245,1,0.244796,244.796000,0.244796,"void wgrad2d_grouped_direct_kernel<float, float, float, cudnnTensorFormat_t=0>(cudnnTensorStruct, float const *, cudnnTensorStruct, float const *, cudnnConvolutionStruct, cudnnFilterStruct, float*, float, float, cudnn::reduced_divisor, cudnn::reduced_divisor, cudnn::reduced_divisor, cudnn::reduced_divisor, cudnn::reduced_divisor, cudnn::reduced_divisor, int)"
"GPU activities",0.000759,0.000236,78,0.003021,2.944000,0.003424,"void splitKreduce_kernel<float, float, float, float>(cublasSplitKParams<float>, float const *, float const *, float*, float const *, float const *, float const *)"
"GPU activities",0.000709,0.000220,2,0.110062,77.343000,0.142782,"volta_scudnn_128x32_sliced1x4_ldg4_relu_exp_medium_nhwc_tn_v1"
"GPU activities",0.000651,0.000202,62,0.003259,1.248000,0.029087,"[CUDA memcpy DtoD]"
"GPU activities",0.000626,0.000194,14,0.013880,3.360000,0.033984,"void nchwToNhwcKernel<float, float, float, bool=1, bool=0, cudnnKernelDataType_t=0>(int, int, int, int, float const *, float*, float, float)"
"GPU activities",0.000510,0.000158,79,0.002003,1.696000,0.002400,"void at::native::vectorized_elementwise_kernel<int=4, at::native::CompareEqFunctor<long>, at::detail::Array<char*, int=3>>(int, long, at::native::CompareEqFunctor<long>)"
"GPU activities",0.000222,0.000069,7,0.009842,4.928000,0.021184,"void nhwcToNchwKernel<float, float, float, bool=1, bool=0, cudnnKernelDataType_t=0>(int, int, int, int, float const *, float*, float, float)"
"GPU activities",0.000098,0.000030,1,0.030463,30.463000,0.030463,"volta_scudnn_128x128_relu_medium_nn_v1"
"GPU activities",0.000026,0.000008,1,0.008000,8.000000,0.008000,"void nchwToFoldedNchwKernel<float, float, float, bool=1, cudnnKernelDataType_t=0>(int, int, int, int, float const *, float*, int, int, int, int, int, int, int, int, int, int, int, float, float, cudnn::reduced_divisor, cudnn::reduced_divisor, cudnn::reduced_divisor, cudnn::reduced_divisor, cudnn::reduced_divisor)"
"GPU activities",0.000023,0.000007,1,0.007040,7.040000,0.007040,"void foldedNchwToNchwKernel<float, float, float, bool=1, cudnnKernelDataType_t=0>(int, int, int, int, int, int, int, float const *, float*, int, int, int, int, int, int, int, int, int, int, int, float, float, cudnn::reduced_divisor, cudnn::reduced_divisor, cudnn::reduced_divisor, cudnn::reduced_divisor, cudnn::reduced_divisor)"
"GPU activities",0.000016,0.000005,1,0.005024,5.024000,0.005024,"void nchwAddPaddingKernel<float, float, float, bool=1, cudnnKernelDataType_t=0>(int, int, int, int, int, int, int, int, float const *, float*, int, int, int, int, int, float, float, cudnn::reduced_divisor, cudnn::reduced_divisor, cudnn::reduced_divisor)"
"GPU activities",0.000015,0.000005,2,0.002288,2.272000,0.002304,"cask_cudnn::computeBOffsetsKernel(cask_cudnn::ComputeBOffsetsParams)"
"GPU activities",0.000007,0.000002,1,0.002112,2.112000,0.002112,"void cudnn::cnn::kern_precompute_indices<bool=0>(int*, int, int, int, int, int, int)"
"API calls",55.095173,17.211095,2152673,0.007995,5.185000,17.141157,"cudaLaunchKernel"
"API calls",20.148809,6.294255,75,83.923399,4.508000,6248.410432,"cudaMalloc"
"API calls",14.901391,4.655022,11432582,0.000407,0.304000,1.743770,"cudaGetDevice"
"API calls",2.497276,0.780120,344626,0.002263,0.604000,20.865365,"cudaEventRecord"
"API calls",1.993115,0.622626,742262,0.000838,0.541000,9.179609,"cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags"
"API calls",1.668047,0.521079,6784,0.076809,5.141000,5.680776,"cudaMemcpyAsync"
